coef,0,1,2,3,4,5
Food,0.00016456756504358526,-9.857915478316169e-05,-1.2389382989129185e-05,-8.30800408118151e-06,-2.0351951172586155e-05,-2.4939072017535635e-05
Forest,0.05401048317641133,-0.007168933046607174,-0.012071359618030467,-0.014665258956527412,-0.01302897388766317,-0.007075957667582844
Fortification,0.009297435507889695,-0.008689884480284547,-2.081750594434931e-05,-2.5504635514276127e-05,-2.8419640686532534e-05,-0.0005328092454600554
Fox,0.5754286636653779,-0.7707622465283109,-0.3254397242550996,-0.4007881572467442,-0.4471712609660586,1.3687327253308323
Fractal,0.0,0.0,0.0,0.0,0.0,0.0
Freyalise,-0.0024089999367508373,0.007698348270034386,-0.0006198714725235435,-0.00026164975243737275,-0.0037065645028711972,-0.0007012626054513638
Frog,0.05837453136311305,0.3696070527640249,0.09704258535451592,-0.3511050225231653,0.16328591781071922,-0.3372050647692016
Fungus,-0.051970942087430645,0.7361728712681425,-0.29903128357168796,-0.2807646915298116,0.1320764419075149,-0.23648239598676543
Gargoyle,0.11837982157432343,-0.12969477341010427,-1.1982796139455119,0.4941976409461597,-0.6131627093672409,1.3285596342023716
Garruk,-0.036139839552019125,0.29492618781188323,-0.03998002520826574,-0.20730760354876548,-0.00824040651963049,-0.003258312983191881
Gate,0.044690210245884876,-0.024583518685025955,-0.0013198716252454182,-0.0012761033818794324,-0.016257358383251777,-0.0012533581704843814
Giant,-0.3197210858093436,-0.9268849910920878,-0.3131554980329208,1.2491302486891724,-0.598332596357941,0.9089639226031645
Gideon,-0.0019198602028318986,-0.0006549943914625016,-7.652256755084947e-05,-8.093605437777691e-05,-0.00013427539980542845,0.0028665886160285686
Gith,-0.012808407041562078,-0.17719997478919078,-0.026214821151944855,-0.07211850153713723,-0.13396541113400257,0.422307115653845
Gnoll,-0.00519419143096745,-0.04332142177597406,-0.01691002870380667,0.21429416104181012,-0.009443485512533907,-0.13942503361852782
Gnome,0.03187981356478155,-0.20775190897348997,-0.21608217112674646,-0.12497312767583321,-0.13357756084641637,0.6505049550577078
Goat,-0.04379179377370723,-0.5145823422366017,-0.1335389380448756,0.056720986115196846,-0.13588653586771682,0.771078623807702
Goblin,-0.24518368537564053,-0.6361183269675446,-0.8445803538819024,2.405180421224966,0.11287113321062604,-0.792169188210537
God,-0.13887444364880785,-0.5812923535705254,0.5373745545154246,0.415761091507159,0.1930102819242669,-0.42597913072750554
Golem,0.8197588731049609,-0.19332063377735917,-0.3464585538461749,-0.18793234147934526,0.07685248428279497,-0.1688998282848911
Gorgon,-0.10046309083000923,-0.24468402633431252,-0.20703863905459471,-0.0357703060770595,0.7712670392141937,-0.18331097691821704
Gremlin,-0.04874224262377097,-0.5164487388594747,-0.21726002919041534,1.026218779543045,0.12713591528043044,-0.3709036841498345
Griffin,0.04103754380289998,-0.29659577512163815,-0.6198020741221448,-0.19619656217893092,-0.3083217326545264,1.379878600274332
Grist,0.0,0.0,0.0,0.0,0.0,0.0
Hag,-0.08906662406531399,-0.11099384023655674,-0.01723910669742591,-0.19896052531301178,0.49202012969473097,-0.07576003338241807
